Time,atrium,kitchen,livingroom,toilet,bedroom,bel(A),bel(K),bel(L),bel(T),bel(B)
0.0,0,0,1,0,0,0.16763848396501463,0.1728620019436346,0.3137755102040817,0.1728620019436346,0.1728620019436346
1.0,0,0,1,0,0,0.16448014592395113,0.16417029138019734,0.34300897993545676,0.1641702913801974,0.16417029138019737
2.0,0,0,1,0,0,0.16388940849123584,0.16166885208327053,0.3511040352589525,0.16166885208327053,0.16166885208327053
3.0,0,0,1,0,0,0.1637379919360979,0.16096232704247396,0.35337502693648026,0.16096232704247393,0.16096232704247393
4.0,0,0,1,0,0,0.1636961393596535,0.16076349177292515,0.354013385321571,0.16076349177292515,0.16076349177292515
5.0,0,0,1,0,0,0.16368440711112056,0.1607075753283594,0.3541928669038013,0.1607075753283594,0.1607075753283594
6.0,0,0,1,0,0,0.16368111014347403,0.16069185299090524,0.3542433308838102,0.16069185299090524,0.16069185299090524
7.0,0,0,1,0,0,0.16368018324149428,0.1606874324120172,0.35425751952245416,0.1606874324120172,0.1606874324120172
8.0,0,0,1,0,0,0.16367992263538478,0.160686189508355,0.35426150883955015,0.160686189508355,0.160686189508355
9.0,0,0,1,0,0,0.1636798493629432,0.16068584005045508,0.3542626304856916,0.16068584005045508,0.16068584005045508
10.0,0,0,1,0,0,0.16367982876150278,0.1606857417960529,0.35426294585033824,0.1606857417960529,0.1606857417960529
11.0,0,0,1,0,0,0.16367982296915495,0.16068571417061905,0.35426303451898783,0.16068571417061905,0.16068571417061905
12.0,0,0,1,0,0,0.1636798213405652,0.16068570640338878,0.3542630594492684,0.16068570640338878,0.16068570640338878
13.0,0,0,1,0,0,0.1636798208826672,0.16068570421953657,0.3542630664587231,0.16068570421953657,0.16068570421953657
14.0,0,0,1,0,0,0.16367982075392354,0.16068570360551968,0.35426306842951744,0.16068570360551968,0.16068570360551968
15.0,0,0,1,0,0,0.16367982071772563,0.16068570343288124,0.35426306898363047,0.16068570343288124,0.16068570343288124
16.0,0,0,1,0,0,0.16367982070754825,0.1606857033843419,0.35426306913942623,0.16068570338434188,0.16068570338434188
17.0,0,0,1,0,0,0.16367982070468667,0.1606857033706944,0.3542630691832301,0.1606857033706944,0.1606857033706944
18.0,0,0,1,0,0,0.1636798207038821,0.16068570336685725,0.35426306919554607,0.16068570336685728,0.16068570336685728
19.0,0,0,1,0,0,0.16367982070365591,0.1606857033657784,0.3542630691990089,0.1606857033657784,0.16068570336577842
20.0,0,0,1,0,0,0.1636798207035923,0.16068570336547505,0.35426306919998246,0.16068570336547505,0.16068570336547505
21.0,0,0,1,0,0,0.1636798207035744,0.1606857033653898,0.3542630692002562,0.1606857033653898,0.1606857033653898
22.0,0,0,1,0,0,0.16367982070356937,0.1606857033653658,0.3542630692003331,0.1606857033653658,0.1606857033653658
23.0,0,0,1,0,0,0.163679820703568,0.1606857033653591,0.35426306920035483,0.1606857033653591,0.1606857033653591
24.0,0,0,1,0,0,0.1636798207035676,0.16068570336535717,0.3542630692003609,0.16068570336535715,0.16068570336535715
25.0,0,0,1,0,0,0.16367982070356749,0.16068570336535665,0.35426306920036266,0.16068570336535665,0.16068570336535665
26.0,0,0,1,0,0,0.16367982070356743,0.16068570336535645,0.35426306920036316,0.16068570336535648,0.16068570336535648
27.0,0,0,1,0,0,0.16367982070356746,0.16068570336535645,0.35426306920036327,0.1606857033653564,0.16068570336535642
28.0,0,0,1,0,0,0.16367982070356746,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
29.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
30.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
31.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
32.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
33.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
34.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
35.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
36.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
37.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
38.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
39.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
40.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
41.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
42.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
43.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
44.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
45.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
46.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
47.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
48.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
49.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
50.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
51.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
52.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
53.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
54.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
55.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
56.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
57.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
58.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
59.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
60.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
61.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
62.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
63.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
64.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
65.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
66.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
67.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
68.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
69.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
70.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
71.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
72.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
73.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
74.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
75.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
76.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
77.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
78.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
79.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
80.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
81.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
82.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
83.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
84.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
85.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
86.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
87.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
88.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
89.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
90.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
91.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
92.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
93.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
94.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
95.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
96.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
97.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
98.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
99.0,0,0,1,0,0,0.16367982070356743,0.16068570336535642,0.3542630692003633,0.16068570336535642,0.16068570336535642
100.0,0,0,1,0,0,0.16367982070356743,0.1606857033653564,0.35426306920036327,0.1606857033653564,0.1606857033653564
