Time,Room
0.0,livingroom
150.9999999999957,atrium
151.99999999999565,kitchen
152.9999999999956,atrium
153.99999999999554,kitchen
300.99999999999994,atrium
302.00000000000017,bedroom
303.0000000000004,atrium
321.0000000000045,toilet
386.00000000001927,atrium
387.0000000000195,bedroom
630.0000000000747,atrium
937.0000000001445,kitchen
1084.0000000001096,atrium
1247.9999999999604,toilet
1248.9999999999595,atrium
1767.9999999994875,kitchen
2366.9999999989427,atrium
2452.9999999988645,kitchen
2656.999999998679,atrium
2726.9999999986153,toilet
2727.9999999986144,atrium
2728.9999999986135,toilet
2757.999999998587,atrium
2830.9999999985207,kitchen
3349.9999999980487,atrium
3634.9999999977895,bedroom
3955.9999999974975,atrium
3956.9999999974966,bedroom
3957.9999999974957,atrium
3958.999999997495,bedroom
4422.999999998559,atrium
4903.000000000306,bedroom
5072.00000000092,atrium
5204.000000001401,toilet
5205.000000001404,atrium
5268.000000001633,bedroom
5269.000000001637,atrium
5396.000000002099,bedroom
5791.000000003536,atrium
5797.000000003558,bedroom
5798.000000003562,atrium
6060.000000004515,bedroom
6320.000000005461,atrium
6321.000000005464,bedroom
6631.000000006592,atrium
6698.000000006836,bedroom
6699.000000006839,atrium
6700.000000006843,bedroom
6829.000000007312,atrium
7329.000000009131,toilet
7330.000000009135,atrium
7447.000000009561,bedroom
7798.0000000108375,atrium
8148.000000012111,bedroom
8191.000000012267,atrium
8650.000000013937,toilet
8723.000000014203,atrium
9280.000000016229,bedroom
9329.000000016407,atrium
9437.0000000168,kitchen
9503.00000001704,atrium
9823.000000018204,kitchen
