Code,Date,Time,Class,Value
231233176,12/04/2019,09:20:00,TemperatureState,20.19
231233175,12/04/2019,09:20:00,LuminescenceState,1.04
231233174,12/04/2019,09:20:00,HumidityMeasurementState,58.62
231233151,12/04/2019,09:10:00,TemperatureState,19.96
231233150,12/04/2019,09:10:00,LuminescenceState,1.04
231233149,12/04/2019,09:10:00,HumidityMeasurementState,58.36
231233127,12/04/2019,09:00:50,MovementState,notMoving
231233123,12/04/2019,09:00:00,TemperatureState,19.96
231233122,12/04/2019,09:00:00,LuminescenceState,1.04
231233121,12/04/2019,09:00:00,HumidityMeasurementState,58.36
231233104,12/04/2019,08:58:37,MovementState,isMoving
231233095,12/04/2019,08:50:00,TemperatureState,19.96
231233094,12/04/2019,08:50:00,LuminescenceState,1.04
231233093,12/04/2019,08:50:00,HumidityMeasurementState,58.36
231233078,12/04/2019,08:40:00,TemperatureState,19.96
231233077,12/04/2019,08:40:00,LuminescenceState,1.04
231233076,12/04/2019,08:40:00,HumidityMeasurementState,58.36
231233061,12/04/2019,08:30:00,TemperatureState,20.17
231233060,12/04/2019,08:30:00,LuminescenceState,1.04
231233059,12/04/2019,08:30:00,HumidityMeasurementState,58.35
231233044,12/04/2019,08:20:00,TemperatureState,20.17
231233043,12/04/2019,08:20:00,LuminescenceState,1.04
231233042,12/04/2019,08:20:00,HumidityMeasurementState,58.35
231233027,12/04/2019,08:10:00,TemperatureState,20.17
231233026,12/04/2019,08:10:00,LuminescenceState,1.04
231233025,12/04/2019,08:10:00,HumidityMeasurementState,58.35
231233010,12/04/2019,08:00:00,TemperatureState,20.17
231233009,12/04/2019,08:00:00,LuminescenceState,1.04
231233008,12/04/2019,08:00:00,HumidityMeasurementState,58.35
231232993,12/04/2019,07:50:00,TemperatureState,20.17
231232992,12/04/2019,07:50:00,LuminescenceState,1.04
231232991,12/04/2019,07:50:00,HumidityMeasurementState,58.35
231232976,12/04/2019,07:40:00,TemperatureState,20.17
231232975,12/04/2019,07:40:00,LuminescenceState,1.04
231232974,12/04/2019,07:40:00,HumidityMeasurementState,58.35
231232957,12/04/2019,07:30:00,TemperatureState,20.17
231232956,12/04/2019,07:30:00,LuminescenceState,1.04
231232955,12/04/2019,07:30:00,HumidityMeasurementState,58.35
231232928,12/04/2019,07:20:00,TemperatureState,20.17
231232927,12/04/2019,07:20:00,LuminescenceState,1.04
231232926,12/04/2019,07:20:00,HumidityMeasurementState,58.35
231232897,12/04/2019,07:10:00,TemperatureState,20.17
231232896,12/04/2019,07:10:00,LuminescenceState,1.04
231232895,12/04/2019,07:10:00,HumidityMeasurementState,58.35
231232871,12/04/2019,07:05:29,MovementState,notMoving
231232866,12/04/2019,07:03:21,MovementState,isMoving
231232861,12/04/2019,07:00:00,TemperatureState,20.17
231232860,12/04/2019,07:00:00,LuminescenceState,1.04
231232859,12/04/2019,07:00:00,HumidityMeasurementState,58.35
231232843,12/04/2019,06:57:53,MovementState,notMoving
231232840,12/04/2019,06:55:41,MovementState,isMoving
231232839,12/04/2019,06:54:57,MovementState,notMoving
231232835,12/04/2019,06:52:45,MovementState,isMoving
231232829,12/04/2019,06:50:00,TemperatureState,20.17
231232828,12/04/2019,06:50:00,LuminescenceState,1.04
231232827,12/04/2019,06:50:00,HumidityMeasurementState,58.35
231232800,12/04/2019,06:43:46,MovementState,notMoving
231232797,12/04/2019,06:40:00,TemperatureState,20.17
231232795,12/04/2019,06:40:00,LuminescenceState,1.04
231232794,12/04/2019,06:40:00,HumidityMeasurementState,58.35
231232778,12/04/2019,06:37:25,MovementState,isMoving
231232777,12/04/2019,06:36:23,MovementState,notMoving
231232773,12/04/2019,06:32:14,MovementState,isMoving
231232766,12/04/2019,06:30:00,TemperatureState,20.17
231232765,12/04/2019,06:30:00,LuminescenceState,1.04
231232764,12/04/2019,06:30:00,HumidityMeasurementState,58.35
231232743,12/04/2019,06:20:00,TemperatureState,19.95
231232742,12/04/2019,06:20:00,LuminescenceState,1.04
231232741,12/04/2019,06:20:00,HumidityMeasurementState,58.78
231232715,12/04/2019,06:10:00,TemperatureState,19.73
231232714,12/04/2019,06:10:00,LuminescenceState,1.04
231232713,12/04/2019,06:10:00,HumidityMeasurementState,58.99
231232685,12/04/2019,06:00:00,TemperatureState,19.47
231232684,12/04/2019,06:00:00,LuminescenceState,1.04
231232683,12/04/2019,06:00:00,HumidityMeasurementState,58.42
231232667,12/04/2019,05:59:10,MovementState,notMoving
231232663,12/04/2019,05:56:58,MovementState,isMoving
231232656,12/04/2019,05:50:00,TemperatureState,19.47
231232655,12/04/2019,05:50:00,LuminescenceState,1.04
231232654,12/04/2019,05:50:00,HumidityMeasurementState,58.42
231232631,12/04/2019,05:40:00,TemperatureState,19.47
231232630,12/04/2019,05:40:00,LuminescenceState,1.04
231232629,12/04/2019,05:40:00,HumidityMeasurementState,58.42
