Class,Value,Timestamp
Atrium,0,2019-03-07 16:50:24
Atrium,1,2019-03-07 16:53:55
Atrium,0,2019-03-07 16:56:15
Atrium,1,2019-03-07 16:58:07
Atrium,0,2019-03-07 17:00:19
Atrium,1,2019-03-07 17:00:39
Atrium,0,2019-03-07 17:02:59
Atrium,1,2019-03-07 17:13:41
Atrium,0,2019-03-07 17:17:51
Atrium,1,2019-03-07 17:18:05
Atrium,0,2019-03-07 17:20:24
Atrium,1,2019-03-08 09:03:07
Atrium,0,2019-03-08 09:07:40
Atrium,1,2019-03-08 09:07:55
Atrium,0,2019-03-08 09:12:14
Atrium,1,2019-03-08 09:15:33
Atrium,0,2019-03-08 09:17:41
Atrium,1,2019-03-08 09:19:17
Atrium,0,2019-03-08 09:21:28
Atrium,1,2019-03-08 09:22:17
Atrium,0,2019-03-08 09:26:39
Atrium,1,2019-03-08 09:27:38
Atrium,0,2019-03-08 09:29:46
Atrium,1,2019-03-08 09:32:27
Atrium,0,2019-03-08 09:34:54
Atrium,1,2019-03-08 09:35:02
Atrium,0,2019-03-08 09:37:22
Atrium,1,2019-03-08 09:39:49
Atrium,0,2019-03-08 09:42:08
Atrium,1,2019-03-08 09:46:09
Atrium,0,2019-03-08 09:48:21
Atrium,1,2019-03-08 10:04:52
Atrium,0,2019-03-08 10:07:11
Atrium,1,2019-03-08 10:16:07
Atrium,0,2019-03-08 10:18:15
Atrium,1,2019-03-08 10:34:33
Atrium,0,2019-03-08 10:36:52
Atrium,1,2019-03-08 10:51:21
Atrium,0,2019-03-08 10:53:32
Atrium,1,2019-03-08 10:58:23
Atrium,0,2019-03-08 11:00:31
Atrium,1,2019-03-08 11:14:10
Atrium,0,2019-03-08 11:16:22
Atrium,1,2019-03-08 11:16:47
Atrium,0,2019-03-08 11:18:59
Atrium,1,2019-03-08 11:24:06
Atrium,0,2019-03-08 11:26:15
Atrium,1,2019-03-08 11:30:06
Atrium,0,2019-03-08 11:32:14
Atrium,1,2019-03-08 11:44:44
Atrium,0,2019-03-08 11:46:57
Atrium,1,2019-03-08 11:52:26
Atrium,0,2019-03-08 11:54:34
Atrium,1,2019-03-08 12:04:25
Atrium,0,2019-03-08 12:08:40
Atrium,1,2019-03-08 12:17:42
Atrium,0,2019-03-08 12:24:07
Atrium,1,2019-03-08 12:24:26
Atrium,0,2019-03-08 12:26:38
Atrium,1,2019-03-08 12:26:55
Atrium,0,2019-03-08 12:29:10
Atrium,1,2019-03-08 12:29:47
Atrium,0,2019-03-08 12:31:57
