Class,Value,Timestamp
Bedroom,1,2019-03-07 16:51:17
Bedroom,0,2019-03-07 17:15:42
Bedroom,1,2019-03-08 09:05:04
Bedroom,0,2019-03-08 09:07:23
Bedroom,1,2019-03-08 09:09:10
Bedroom,0,2019-03-08 09:13:21
Bedroom,1,2019-03-08 09:13:38
Bedroom,0,2019-03-08 09:15:58
Bedroom,1,2019-03-08 13:38:34
Bedroom,0,2019-03-08 13:40:52
Bedroom,1,2019-03-09 09:38:16
Bedroom,0,2019-03-09 09:40:28
Bedroom,1,2019-03-09 10:06:29
Bedroom,0,2019-03-09 10:08:47
Bedroom,1,2019-03-09 10:10:34
Bedroom,0,2019-03-09 10:14:42
Bedroom,1,2019-03-09 10:15:15
Bedroom,0,2019-03-09 10:19:30
Bedroom,1,2019-03-09 10:19:45
Bedroom,0,2019-03-09 10:21:57
Bedroom,1,2019-03-09 10:22:39
Bedroom,0,2019-03-09 10:24:52
Bedroom,1,2019-03-09 10:25:39
Bedroom,0,2019-03-09 10:27:50
Bedroom,1,2019-03-09 10:28:02
Bedroom,0,2019-03-09 10:30:11
Bedroom,1,2019-03-09 10:30:39
Bedroom,0,2019-03-09 10:36:55
Bedroom,1,2019-03-09 10:37:19
Bedroom,0,2019-03-09 10:39:31
Bedroom,1,2019-03-09 10:42:36
Bedroom,0,2019-03-09 10:44:55
Bedroom,1,2019-03-09 10:51:26
Bedroom,0,2019-03-09 10:55:46
Bedroom,1,2019-03-10 09:04:42
Bedroom,0,2019-03-10 09:13:15
Bedroom,1,2019-03-10 09:13:27
Bedroom,0,2019-03-10 09:15:46
Bedroom,1,2019-03-10 09:17:13
Bedroom,0,2019-03-10 09:19:27
Bedroom,1,2019-03-10 17:07:34
Bedroom,0,2019-03-10 17:14:01
Bedroom,1,2019-03-11 07:00:55
Bedroom,0,2019-03-11 07:07:21
Bedroom,1,2019-03-11 07:43:23
Bedroom,0,2019-03-11 07:45:30
Bedroom,1,2019-03-11 07:45:48
Bedroom,0,2019-03-11 07:55:54
Bedroom,1,2019-03-11 07:56:18
Bedroom,0,2019-03-11 07:58:32
Bedroom,1,2019-03-11 07:59:03
Bedroom,0,2019-03-11 08:01:14
Bedroom,1,2019-03-11 08:09:35
Bedroom,0,2019-03-11 08:16:01
Bedroom,1,2019-03-11 08:19:14
Bedroom,0,2019-03-11 08:25:42
Bedroom,1,2019-03-11 08:27:28
Bedroom,0,2019-03-11 08:31:55
Bedroom,1,2019-03-11 08:33:54
Bedroom,0,2019-03-11 08:36:16
Bedroom,1,2019-03-11 08:37:24
Bedroom,0,2019-03-11 08:39:35
Bedroom,1,2019-03-11 08:40:18
Bedroom,0,2019-03-11 08:42:37
Bedroom,1,2019-03-11 08:45:21
Bedroom,0,2019-03-11 08:47:39
Bedroom,1,2019-03-11 08:48:54
Bedroom,0,2019-03-11 08:53:19
Bedroom,1,2019-03-11 09:07:28
Bedroom,0,2019-03-11 09:09:39
Bedroom,1,2019-03-11 17:05:33
Bedroom,0,2019-03-11 17:07:45
Bedroom,1,2019-03-11 17:11:07
Bedroom,0,2019-03-11 17:13:26
Bedroom,1,2019-03-11 17:29:29
Bedroom,0,2019-03-11 17:31:56
Bedroom,1,2019-03-11 17:33:24
Bedroom,0,2019-03-11 17:35:36
Bedroom,1,2019-03-11 18:45:13
Bedroom,0,2019-03-11 18:47:21
Bedroom,1,2019-03-11 18:49:35
Bedroom,0,2019-03-11 18:52:01
Bedroom,1,2019-03-11 18:54:24
Bedroom,0,2019-03-11 18:56:35
Bedroom,1,2019-03-11 20:25:40
Bedroom,0,2019-03-11 20:27:58
Bedroom,1,2019-03-11 20:51:36
Bedroom,0,2019-03-11 20:58:02
Bedroom,1,2019-03-11 20:58:20
Bedroom,0,2019-03-11 21:00:30
Bedroom,1,2019-03-11 21:01:05
Bedroom,0,2019-03-11 21:03:19
Bedroom,1,2019-03-11 21:03:30
Bedroom,0,2019-03-11 21:05:41
Bedroom,1,2019-03-11 21:09:59
