Class,Value,Timestamp
Kitchen,1,2019-03-18 10:42:40
Kitchen,0,2019-03-18 10:45:04
Kitchen,1,2019-03-18 10:58:29
Kitchen,0,2019-03-18 11:00:49
Kitchen,1,2019-03-18 11:12:55
Kitchen,0,2019-03-18 11:15:27
Kitchen,1,2019-03-18 11:16:39
Kitchen,0,2019-03-18 11:34:57
Kitchen,1,2019-03-18 14:25:56
Kitchen,0,2019-03-18 14:30:33
Kitchen,1,2019-03-18 14:30:57
Kitchen,0,2019-03-18 15:41:47
Kitchen,1,2019-03-18 15:42:03
Kitchen,0,2019-03-18 15:46:50
Kitchen,1,2019-03-18 15:47:08
Kitchen,0,2019-03-18 16:07:38
Kitchen,1,2019-03-18 16:10:08
Kitchen,0,2019-03-18 16:16:58
Kitchen,1,2019-03-18 16:17:06
Kitchen,0,2019-03-18 16:33:02
Kitchen,1,2019-03-18 16:33:20
Kitchen,0,2019-03-18 16:38:09
Kitchen,1,2019-03-18 16:38:25
Kitchen,0,2019-03-18 16:45:19
Kitchen,1,2019-03-18 16:45:32
Kitchen,0,2019-03-18 16:59:10
Kitchen,1,2019-03-18 17:01:00
Kitchen,0,2019-03-18 17:03:31
Kitchen,1,2019-03-18 17:10:06
Kitchen,0,2019-03-18 17:14:59
Kitchen,1,2019-03-18 17:15:17
Kitchen,0,2019-03-18 17:26:50
Kitchen,1,2019-03-18 17:28:16
Kitchen,0,2019-03-18 17:32:53
Kitchen,1,2019-03-18 17:41:54
Kitchen,0,2019-03-18 17:44:25
Kitchen,1,2019-03-18 17:56:34
Kitchen,0,2019-03-18 17:59:01
Kitchen,1,2019-03-18 18:08:59
Kitchen,0,2019-03-18 18:16:04
Kitchen,1,2019-03-18 18:16:24
Kitchen,0,2019-03-18 19:01:57
Kitchen,1,2019-03-18 19:02:08
Kitchen,0,2019-03-18 19:04:42
Kitchen,1,2019-03-18 19:04:54
Kitchen,0,2019-03-18 19:12:10
Kitchen,1,2019-03-18 19:55:55
Kitchen,0,2019-03-18 19:58:27
Kitchen,1,2019-03-18 19:59:04
Kitchen,0,2019-03-18 20:01:35
Kitchen,1,2019-03-18 20:04:55
Kitchen,0,2019-03-18 20:11:58
Kitchen,1,2019-03-18 20:12:08
Kitchen,0,2019-03-18 20:21:09
Kitchen,1,2019-03-19 06:01:21
Kitchen,0,2019-03-19 06:03:52
Kitchen,1,2019-03-19 06:06:51
Kitchen,0,2019-03-19 06:20:27
Kitchen,1,2019-03-19 06:23:17
Kitchen,0,2019-03-19 06:41:42
Kitchen,1,2019-03-19 06:42:04
Kitchen,0,2019-03-19 06:44:34
Kitchen,1,2019-03-19 06:45:19
Kitchen,0,2019-03-19 06:47:51
Kitchen,1,2019-03-19 07:00:57
Kitchen,0,2019-03-19 07:03:29
Kitchen,1,2019-03-19 07:04:30
Kitchen,0,2019-03-19 07:09:14
Kitchen,1,2019-03-19 07:09:57
Kitchen,0,2019-03-19 07:21:25
Kitchen,1,2019-03-19 07:21:36
Kitchen,0,2019-03-19 07:33:10
Kitchen,1,2019-03-19 07:41:29
Kitchen,0,2019-03-19 07:50:38
Kitchen,1,2019-03-19 07:50:54
Kitchen,0,2019-03-19 07:53:26
Kitchen,1,2019-03-19 07:54:35
Kitchen,0,2019-03-19 07:57:06
Kitchen,1,2019-03-19 08:00:46
Kitchen,0,2019-03-19 08:05:36
Kitchen,1,2019-03-19 08:12:20
Kitchen,0,2019-03-19 08:14:51
Kitchen,1,2019-03-19 08:15:02
Kitchen,0,2019-03-19 08:17:26
Kitchen,1,2019-03-19 09:27:04
Kitchen,0,2019-03-19 09:32:17
Kitchen,1,2019-03-19 10:22:33
Kitchen,0,2019-03-19 10:25:05
Kitchen,1,2019-03-19 10:25:55
Kitchen,0,2019-03-19 11:02:40
Kitchen,1,2019-03-19 11:02:59
Kitchen,0,2019-03-19 11:05:31
Kitchen,1,2019-03-19 12:30:45
Kitchen,0,2019-03-19 12:33:09
Kitchen,1,2019-03-19 12:38:04
Kitchen,0,2019-03-19 12:47:59
Kitchen,1,2019-03-19 12:51:26
Kitchen,0,2019-03-19 12:56:00
Kitchen,1,2019-03-19 12:56:21
Kitchen,0,2019-03-19 12:58:40
Kitchen,1,2019-03-19 14:14:22
Kitchen,0,2019-03-19 14:25:59
Kitchen,1,2019-03-19 14:26:23
Kitchen,0,2019-03-19 14:33:17
Kitchen,1,2019-03-19 14:34:05
Kitchen,0,2019-03-19 14:38:33
Kitchen,1,2019-03-19 14:45:55
Kitchen,0,2019-03-19 14:48:20
Kitchen,1,2019-03-19 14:48:59
Kitchen,0,2019-03-19 14:51:23
Kitchen,1,2019-03-19 14:51:35
Kitchen,0,2019-03-19 14:56:21
Kitchen,1,2019-03-19 15:14:57
Kitchen,0,2019-03-19 15:22:03
Kitchen,1,2019-03-19 15:37:21
Kitchen,0,2019-03-19 15:42:00
Kitchen,1,2019-03-19 15:42:31
Kitchen,0,2019-03-19 15:47:13
Kitchen,1,2019-03-19 15:47:47
Kitchen,0,2019-03-19 15:54:37
Kitchen,1,2019-03-19 16:10:40
Kitchen,0,2019-03-19 16:17:44
Kitchen,1,2019-03-19 16:18:16
Kitchen,0,2019-03-19 16:46:18
Kitchen,1,2019-03-19 16:46:51
Kitchen,0,2019-03-19 17:22:49
Kitchen,1,2019-03-19 17:35:13
Kitchen,0,2019-03-19 17:50:57
Kitchen,1,2019-03-19 18:05:26
Kitchen,0,2019-03-19 18:16:56
Kitchen,1,2019-03-19 18:17:20
Kitchen,0,2019-03-19 18:19:54
Kitchen,1,2019-03-19 18:20:02
Kitchen,0,2019-03-19 20:07:55
Kitchen,1,2019-03-19 20:11:49
Kitchen,0,2019-03-19 20:23:18
Kitchen,1,2019-03-19 20:23:31
Kitchen,1,2019-03-20 06:07:34
Kitchen,0,2019-03-20 06:14:32
Kitchen,1,2019-03-20 06:16:43
