Class,Value,Timestamp
Livingroom,1,2019-03-18 10:28:56
Livingroom,0,2019-03-18 10:33:13
Livingroom,1,2019-03-18 10:34:56
Livingroom,0,2019-03-18 10:39:10
Livingroom,1,2019-03-18 10:41:23
Livingroom,0,2019-03-18 10:49:37
Livingroom,1,2019-03-18 10:49:46
Livingroom,0,2019-03-18 11:08:41
Livingroom,1,2019-03-18 11:17:46
Livingroom,0,2019-03-18 11:20:00
Livingroom,1,2019-03-18 11:20:12
Livingroom,0,2019-03-18 11:24:28
Livingroom,1,2019-03-18 11:27:16
Livingroom,0,2019-03-18 11:29:37
Livingroom,1,2019-03-18 11:30:00
Livingroom,0,2019-03-18 11:32:22
Livingroom,1,2019-03-18 11:36:24
Livingroom,0,2019-03-18 11:40:44
Livingroom,1,2019-03-18 11:41:52
Livingroom,0,2019-03-18 11:46:05
Livingroom,1,2019-03-18 11:46:56
Livingroom,0,2019-03-18 11:49:17
Livingroom,1,2019-03-18 13:06:54
Livingroom,0,2019-03-18 13:09:06
Livingroom,1,2019-03-18 13:09:28
Livingroom,0,2019-03-18 13:11:47
Livingroom,1,2019-03-18 13:13:32
Livingroom,0,2019-03-18 13:15:54
Livingroom,1,2019-03-18 14:11:49
Livingroom,0,2019-03-18 14:14:11
Livingroom,1,2019-03-18 14:16:21
Livingroom,0,2019-03-18 14:18:30
Livingroom,1,2019-03-18 14:23:49
Livingroom,0,2019-03-18 14:31:58
Livingroom,1,2019-03-18 14:32:08
Livingroom,0,2019-03-18 14:34:30
Livingroom,1,2019-03-18 14:35:09
Livingroom,0,2019-03-18 14:37:30
Livingroom,1,2019-03-18 14:38:02
Livingroom,0,2019-03-18 14:40:23
Livingroom,1,2019-03-18 14:40:35
Livingroom,0,2019-03-18 14:42:50
Livingroom,1,2019-03-18 14:43:52
Livingroom,0,2019-03-18 14:46:14
Livingroom,1,2019-03-18 14:46:26
Livingroom,0,2019-03-18 14:48:48
Livingroom,1,2019-03-18 14:50:48
Livingroom,0,2019-03-18 14:55:28
Livingroom,1,2019-03-18 14:56:28
Livingroom,0,2019-03-18 14:58:46
Livingroom,1,2019-03-18 15:01:57
Livingroom,0,2019-03-18 15:04:10
Livingroom,1,2019-03-18 15:10:20
Livingroom,0,2019-03-18 15:12:34
Livingroom,1,2019-03-18 15:13:20
Livingroom,0,2019-03-18 15:15:34
Livingroom,1,2019-03-18 15:15:53
Livingroom,0,2019-03-18 15:18:15
Livingroom,1,2019-03-18 15:19:53
Livingroom,0,2019-03-18 15:22:06
Livingroom,1,2019-03-18 15:29:48
Livingroom,0,2019-03-18 15:31:57
Livingroom,1,2019-03-18 15:32:18
Livingroom,0,2019-03-18 15:34:28
Livingroom,1,2019-03-18 15:36:48
Livingroom,0,2019-03-18 15:39:10
Livingroom,1,2019-03-18 15:40:35
Livingroom,0,2019-03-18 15:42:48
Livingroom,1,2019-03-18 15:44:29
Livingroom,0,2019-03-18 15:46:39
Livingroom,1,2019-03-18 15:49:48
Livingroom,0,2019-03-18 15:52:02
Livingroom,1,2019-03-18 15:52:35
Livingroom,0,2019-03-18 15:54:51
Livingroom,1,2019-03-18 15:56:21
Livingroom,0,2019-03-18 15:58:38
Livingroom,1,2019-03-18 15:59:10
Livingroom,0,2019-03-18 16:01:22
Livingroom,1,2019-03-18 16:05:24
Livingroom,0,2019-03-18 16:07:40
Livingroom,1,2019-03-18 16:09:51
Livingroom,0,2019-03-18 16:12:06
Livingroom,1,2019-03-18 16:15:45
Livingroom,0,2019-03-18 16:18:00
Livingroom,1,2019-03-18 16:18:14
Livingroom,0,2019-03-18 16:20:43
Livingroom,1,2019-03-18 16:21:13
Livingroom,0,2019-03-18 16:23:27
Livingroom,1,2019-03-18 16:23:52
Livingroom,0,2019-03-18 16:26:14
Livingroom,1,2019-03-18 16:28:30
Livingroom,0,2019-03-18 16:30:48
Livingroom,1,2019-03-18 16:31:28
Livingroom,0,2019-03-18 16:33:38
Livingroom,1,2019-03-18 16:34:47
Livingroom,0,2019-03-18 16:36:57
Livingroom,1,2019-03-18 16:41:40
Livingroom,0,2019-03-18 16:43:54
Livingroom,1,2019-03-18 16:49:14
Livingroom,0,2019-03-18 16:51:33
Livingroom,1,2019-03-18 16:57:31
Livingroom,0,2019-03-18 16:59:45
Livingroom,1,2019-03-18 17:00:15
Livingroom,0,2019-03-18 17:02:45
Livingroom,1,2019-03-18 17:10:05
Livingroom,0,2019-03-18 17:12:27
Livingroom,1,2019-03-18 17:14:47
Livingroom,0,2019-03-18 17:17:00
Livingroom,1,2019-03-18 17:25:47
Livingroom,0,2019-03-18 17:28:01
