Class,Value,Timestamp
Toilet,1,2019-03-28 09:53:40
Atrium,1,2019-03-28 09:53:42
Atrium,0,2019-03-28 09:53:54
Atrium,1,2019-03-28 09:54:06
Toilet,0,2019-03-28 09:55:41
Kitchen,0,2019-03-28 09:55:43
Kitchen,1,2019-03-28 09:56:06
Atrium,0,2019-03-28 09:56:21
Toilet,1,2019-03-28 09:56:28
Livingroom,0,2019-03-28 09:56:39
Livingroom,1,2019-03-28 09:57:13
Atrium,1,2019-03-28 09:57:15
Livingroom,0,2019-03-28 09:59:27
Livingroom,1,2019-03-28 09:59:54
Toilet,0,2019-03-28 10:00:34
Toilet,1,2019-03-28 10:01:45
Atrium,0,2019-03-28 10:02:15
Atrium,1,2019-03-28 10:02:26
Kitchen,0,2019-03-28 10:03:01
Toilet,0,2019-03-28 10:04:04
Toilet,1,2019-03-28 10:04:51
Kitchen,1,2019-03-28 10:05:30
Toilet,0,2019-03-28 10:07:10
Atrium,0,2019-03-28 10:08:38
Atrium,1,2019-03-28 10:08:55
Livingroom,0,2019-03-28 10:09:13
Livingroom,1,2019-03-28 10:09:25
Atrium,0,2019-03-28 10:11:09
Atrium,1,2019-03-28 10:11:19
Toilet,1,2019-03-28 10:14:15
Livingroom,0,2019-03-28 10:15:45
Atrium,0,2019-03-28 10:15:54
Livingroom,1,2019-03-28 10:16:02
Atrium,1,2019-03-28 10:16:07
Toilet,0,2019-03-28 10:16:42
Livingroom,0,2019-03-28 10:18:17
Atrium,0,2019-03-28 10:18:21
Livingroom,1,2019-03-28 10:18:35
Atrium,1,2019-03-28 10:18:38
Bedroom,1,2019-03-28 10:23:32
Atrium,0,2019-03-28 10:23:36
Atrium,1,2019-03-28 10:23:57
Kitchen,0,2019-03-28 10:25:49
Atrium,0,2019-03-28 10:26:11
Kitchen,1,2019-03-28 10:26:38
Livingroom,0,2019-03-28 10:30:45
Livingroom,1,2019-03-28 10:32:30
Atrium,1,2019-03-28 10:32:38
Kitchen,0,2019-03-28 10:33:13
Atrium,0,2019-03-28 10:35:01
Kitchen,1,2019-03-28 10:40:37
Atrium,1,2019-03-28 10:40:39
Toilet,1,2019-03-28 10:42:51
Kitchen,0,2019-03-28 10:43:00
Kitchen,1,2019-03-28 10:43:13
Atrium,0,2019-03-28 10:44:57
Toilet,0,2019-03-28 10:45:13
Kitchen,0,2019-03-28 10:45:43
Kitchen,1,2019-03-28 10:46:08
Atrium,1,2019-03-28 10:46:10
Livingroom,0,2019-03-28 10:47:00
Toilet,1,2019-03-28 10:47:14
Kitchen,0,2019-03-28 10:48:31
Toilet,0,2019-03-28 10:49:26
Livingroom,1,2019-03-28 10:50:26
Kitchen,1,2019-03-28 10:50:28
Bedroom,0,2019-03-28 10:50:48
Atrium,0,2019-03-28 10:52:24
Livingroom,0,2019-03-28 10:52:46
Kitchen,0,2019-03-28 10:52:50
