Class,Value,Timestamp
Toilet,1,2019-03-28 09:53:40
Toilet,0,2019-03-28 09:55:41
Toilet,1,2019-03-28 09:56:28
Toilet,0,2019-03-28 10:00:34
Toilet,1,2019-03-28 10:01:45
Toilet,0,2019-03-28 10:04:04
Toilet,1,2019-03-28 10:04:51
Toilet,0,2019-03-28 10:07:10
Toilet,1,2019-03-28 10:14:15
Toilet,0,2019-03-28 10:16:42
Toilet,1,2019-03-28 10:42:51
Toilet,0,2019-03-28 10:45:13
Toilet,1,2019-03-28 10:47:14
Toilet,0,2019-03-28 10:49:26
Toilet,1,2019-03-28 10:56:54
Toilet,0,2019-03-28 10:59:07
Toilet,1,2019-03-28 11:16:09
Toilet,0,2019-03-28 11:18:21
Toilet,1,2019-03-28 13:48:18
Toilet,0,2019-03-28 13:50:26
Toilet,1,2019-03-28 13:54:14
Toilet,0,2019-03-28 14:00:21
Toilet,1,2019-03-28 14:09:01
Toilet,0,2019-03-28 14:11:13
Toilet,1,2019-03-28 15:14:12
Toilet,0,2019-03-28 15:16:24
Toilet,1,2019-03-28 15:33:01
Toilet,0,2019-03-28 15:35:13
Toilet,1,2019-03-28 15:44:36
Toilet,0,2019-03-28 15:46:49
Toilet,1,2019-03-28 16:39:44
Toilet,0,2019-03-28 16:42:04
Toilet,1,2019-03-28 16:53:02
Toilet,0,2019-03-28 16:55:10
Toilet,1,2019-03-28 18:05:26
Toilet,0,2019-03-28 18:07:38
Toilet,1,2019-03-28 18:07:58
Toilet,0,2019-03-28 18:12:03
Toilet,1,2019-03-28 18:13:24
Toilet,0,2019-03-28 18:17:36
Toilet,1,2019-03-28 18:40:22
Toilet,0,2019-03-28 18:42:34
Toilet,1,2019-03-28 19:09:44
Toilet,0,2019-03-28 19:11:56
Toilet,1,2019-03-28 19:13:55
Toilet,0,2019-03-28 19:16:07
Toilet,1,2019-03-28 19:58:38
Toilet,0,2019-03-28 20:10:43
Toilet,1,2019-03-28 20:11:54
Toilet,0,2019-03-28 20:14:02
Toilet,1,2019-03-28 20:16:26
Toilet,0,2019-03-28 20:18:39
Toilet,1,2019-03-28 22:56:51
Toilet,0,2019-03-28 23:01:07
Toilet,1,2019-03-29 06:00:47
Toilet,0,2019-03-29 06:05:11
Toilet,1,2019-03-29 06:40:53
Toilet,0,2019-03-29 06:43:06
Toilet,1,2019-03-29 06:55:24
Toilet,0,2019-03-29 06:57:36
Toilet,1,2019-03-29 06:58:19
Toilet,0,2019-03-29 07:02:40
Toilet,1,2019-03-29 07:42:11
Toilet,0,2019-03-29 07:50:31
Toilet,1,2019-03-29 07:51:55
Toilet,0,2019-03-29 07:54:08
Toilet,1,2019-03-29 07:59:19
Toilet,0,2019-03-29 08:03:23
Toilet,1,2019-03-29 08:06:30
Toilet,0,2019-03-29 08:08:49
Toilet,1,2019-03-29 08:47:44
Toilet,0,2019-03-29 08:51:54
Toilet,1,2019-03-29 09:47:52
Toilet,0,2019-03-29 09:50:12
Toilet,1,2019-03-29 10:36:24
Toilet,0,2019-03-29 10:40:54
Toilet,1,2019-03-29 10:41:02
Toilet,0,2019-03-29 10:43:10
Toilet,1,2019-03-29 13:57:12
Toilet,0,2019-03-29 13:59:24
Toilet,1,2019-03-29 14:05:41
Toilet,0,2019-03-29 14:07:53
Toilet,1,2019-03-29 14:08:55
Toilet,0,2019-03-29 14:11:08
Toilet,1,2019-03-29 14:11:29
Toilet,0,2019-03-29 14:13:51
Toilet,1,2019-03-29 14:19:44
Toilet,0,2019-03-29 14:23:57
Toilet,1,2019-03-29 14:24:17
Toilet,0,2019-03-29 14:28:30
Toilet,1,2019-03-29 14:28:50
Toilet,0,2019-03-29 14:32:58
Toilet,1,2019-03-29 14:33:10
Toilet,0,2019-03-29 14:35:35
Toilet,1,2019-03-29 15:18:40
Toilet,0,2019-03-29 15:20:52
Toilet,1,2019-03-29 15:30:51
Toilet,0,2019-03-29 15:33:04
Toilet,1,2019-03-29 15:33:21
Toilet,0,2019-03-29 15:35:38
Toilet,1,2019-03-29 15:36:38
Toilet,0,2019-03-29 15:38:51
Toilet,1,2019-03-29 15:40:58
Toilet,0,2019-03-29 15:43:17
Toilet,1,2019-03-29 15:43:33
Toilet,0,2019-03-29 15:45:53
Toilet,1,2019-03-29 16:07:13
Toilet,0,2019-03-29 16:13:20
Toilet,1,2019-03-29 16:35:57
Toilet,0,2019-03-29 16:38:05
Toilet,1,2019-03-29 16:39:07
Toilet,0,2019-03-29 16:41:16
Toilet,1,2019-03-29 16:54:38
Toilet,0,2019-03-29 16:56:57
Toilet,1,2019-03-29 17:03:21
Toilet,0,2019-03-29 17:05:32
Toilet,1,2019-03-29 17:47:22
Toilet,0,2019-03-29 17:49:30
Toilet,1,2019-03-29 17:52:55
Toilet,0,2019-03-29 17:55:03
Toilet,1,2019-03-29 17:55:23
Toilet,0,2019-03-29 17:57:39
Toilet,1,2019-03-29 17:57:48
Toilet,0,2019-03-29 18:00:00
Toilet,1,2019-03-29 18:17:03
Toilet,0,2019-03-29 18:19:23
Toilet,1,2019-03-29 19:19:13
Toilet,0,2019-03-29 19:21:24
Toilet,1,2019-03-29 19:22:52
Toilet,0,2019-03-29 19:25:04
Toilet,1,2019-03-29 19:36:49
Toilet,0,2019-03-29 19:39:01
Toilet,1,2019-03-29 19:49:48
Toilet,0,2019-03-29 19:53:52
Toilet,1,2019-03-29 19:54:19
Toilet,0,2019-03-29 20:00:26
