Code,Date,Time,Class,Value
210298411,05/12/2018,16:40:00,HumidityMeasurementState,31.07
210298412,05/12/2018,16:40:00,LuminescenceState,1.04
210298413,05/12/2018,16:40:00,TemperatureState,26.86
210298426,05/12/2018,16:50:00,HumidityMeasurementState,31.44
210298427,05/12/2018,16:50:00,LuminescenceState,1.04
210298428,05/12/2018,16:50:00,TemperatureState,26.06
210298445,05/12/2018,17:10:00,HumidityMeasurementState,31.44
210298446,05/12/2018,17:10:00,LuminescenceState,1.04
210298447,05/12/2018,17:10:00,TemperatureState,26.06
210298462,05/12/2018,17:20:00,HumidityMeasurementState,31.91
210298463,05/12/2018,17:20:00,LuminescenceState,1.04
210298464,05/12/2018,17:20:00,TemperatureState,24.65
210298479,05/12/2018,17:30:00,HumidityMeasurementState,32.0
210298480,05/12/2018,17:30:00,LuminescenceState,1.04
210298481,05/12/2018,17:30:00,TemperatureState,24.05
210298496,05/12/2018,17:40:00,HumidityMeasurementState,32.09
210298497,05/12/2018,17:40:00,LuminescenceState,1.04
210298498,05/12/2018,17:40:00,TemperatureState,23.51
210298513,05/12/2018,17:50:00,HumidityMeasurementState,32.2
210298514,05/12/2018,17:50:00,LuminescenceState,1.04
210298515,05/12/2018,17:50:00,TemperatureState,23.06
210298530,05/12/2018,18:00:00,HumidityMeasurementState,32.29
210298531,05/12/2018,18:00:00,LuminescenceState,1.04
210298532,05/12/2018,18:00:00,TemperatureState,22.78
210298547,05/12/2018,18:10:00,HumidityMeasurementState,32.38
210298548,05/12/2018,18:10:00,LuminescenceState,1.04
210298549,05/12/2018,18:10:00,TemperatureState,22.53
210298564,05/12/2018,18:20:00,HumidityMeasurementState,32.47
210298565,05/12/2018,18:20:00,LuminescenceState,1.04
210298566,05/12/2018,18:20:00,TemperatureState,22.29
210298581,05/12/2018,18:30:00,HumidityMeasurementState,32.47
210298582,05/12/2018,18:30:00,LuminescenceState,1.04
210298583,05/12/2018,18:30:00,TemperatureState,22.08
210298598,05/12/2018,18:40:00,HumidityMeasurementState,32.71
210298599,05/12/2018,18:40:00,LuminescenceState,1.04
210298600,05/12/2018,18:40:00,TemperatureState,21.84
210298615,05/12/2018,18:50:00,HumidityMeasurementState,32.71
210298616,05/12/2018,18:50:00,LuminescenceState,1.04
210298617,05/12/2018,18:50:00,TemperatureState,21.84
210298632,05/12/2018,19:00:00,HumidityMeasurementState,32.71
210298633,05/12/2018,19:00:00,LuminescenceState,1.04
210298634,05/12/2018,19:00:00,TemperatureState,21.84
210298649,05/12/2018,19:10:00,HumidityMeasurementState,33.02
210298650,05/12/2018,19:10:00,LuminescenceState,1.04
210298651,05/12/2018,19:10:00,TemperatureState,21.43
