Code,Date,Time,Class,Value
210298327,05/12/2018,15:30:00,HumidityMeasurementState,43.94
210298328,05/12/2018,15:30:00,LuminescenceState,16.55
210298329,05/12/2018,15:30:00,TemperatureState,25.79
210298330,05/12/2018,15:40:00,HumidityMeasurementState,38.56
210298331,05/12/2018,15:40:00,LuminescenceState,100.0
210298332,05/12/2018,15:40:00,TemperatureState,25.7
210298338,05/12/2018,15:50:00,HumidityMeasurementState,40.97
210298339,05/12/2018,15:50:00,LuminescenceState,0.34
210298340,05/12/2018,15:50:00,TemperatureState,26.11
210298350,05/12/2018,16:00:00,HumidityMeasurementState,40.97
210298351,05/12/2018,16:00:00,LuminescenceState,0.34
210298352,05/12/2018,16:00:00,TemperatureState,25.9
210298362,05/12/2018,16:10:00,HumidityMeasurementState,40.97
210298363,05/12/2018,16:10:00,LuminescenceState,0.34
210298364,05/12/2018,16:10:00,TemperatureState,25.9
210298374,05/12/2018,16:20:00,HumidityMeasurementState,41.66
210298375,05/12/2018,16:20:00,LuminescenceState,0.34
210298376,05/12/2018,16:20:00,TemperatureState,25.42
210298387,05/12/2018,16:30:00,HumidityMeasurementState,41.66
210298388,05/12/2018,16:30:00,LuminescenceState,0.34
210298389,05/12/2018,16:30:00,TemperatureState,25.17
210298399,05/12/2018,16:40:00,HumidityMeasurementState,41.66
210298400,05/12/2018,16:40:00,LuminescenceState,0.34
210298401,05/12/2018,16:40:00,TemperatureState,25.17
210298414,05/12/2018,16:50:00,HumidityMeasurementState,41.81
210298415,05/12/2018,16:50:00,LuminescenceState,0.34
210298416,05/12/2018,16:50:00,TemperatureState,24.95
210298442,05/12/2018,17:10:00,HumidityMeasurementState,41.72
210298443,05/12/2018,17:10:00,LuminescenceState,0.34
210298444,05/12/2018,17:10:00,TemperatureState,24.53
210298459,05/12/2018,17:20:00,HumidityMeasurementState,41.62
210298460,05/12/2018,17:20:00,LuminescenceState,0.34
210298461,05/12/2018,17:20:00,TemperatureState,24.27
210298476,05/12/2018,17:30:00,HumidityMeasurementState,41.53
210298477,05/12/2018,17:30:00,LuminescenceState,0.34
210298478,05/12/2018,17:30:00,TemperatureState,23.98
210298493,05/12/2018,17:40:00,HumidityMeasurementState,41.5
210298494,05/12/2018,17:40:00,LuminescenceState,0.34
210298495,05/12/2018,17:40:00,TemperatureState,23.69
210298510,05/12/2018,17:50:00,HumidityMeasurementState,41.45
210298511,05/12/2018,17:50:00,LuminescenceState,0.34
210298512,05/12/2018,17:50:00,TemperatureState,23.43
210298527,05/12/2018,18:00:00,HumidityMeasurementState,41.45
210298528,05/12/2018,18:00:00,LuminescenceState,0.34
210298529,05/12/2018,18:00:00,TemperatureState,22.94
210298544,05/12/2018,18:10:00,HumidityMeasurementState,41.41
210298545,05/12/2018,18:10:00,LuminescenceState,0.34
210298546,05/12/2018,18:10:00,TemperatureState,22.94
