Time,Room
0.0,bedroom
137.99999999999645,atrium
216.99999999999196,kitchen
217.9999999999919,atrium
365.0000000000145,kitchen
397.00000000002177,atrium
785.0000000001099,bedroom
804.0000000001143,atrium
1250.9999999999577,toilet
1251.9999999999568,atrium
1353.999999999864,bedroom
1354.9999999998631,atrium
1608.999999999632,bedroom
1690.9999999995575,atrium
1691.9999999995566,toilet
1698.9999999995503,atrium
1699.9999999995493,kitchen
2276.9999999990246,atrium
2277.9999999990237,toilet
2628.9999999987044,atrium
2778.999999998568,bedroom
2937.9999999984234,atrium
2938.9999999984225,bedroom
2939.9999999984216,atrium
2970.9999999983934,bedroom
2971.9999999983925,atrium
3014.9999999983534,toilet
3081.9999999982924,atrium
3082.9999999982915,kitchen
3083.9999999982906,atrium
3084.9999999982897,kitchen
3085.999999998289,atrium
3207.999999998178,toilet
3208.999999998177,atrium
3251.999999998138,kitchen
3375.999999998025,atrium
3465.999999997943,kitchen
3476.999999997933,atrium
3895.999999997552,toilet
4182.999999997686,atrium
4781.999999999865,toilet
4782.999999999869,atrium
4783.999999999873,toilet
4784.999999999876,atrium
5238.000000001524,bedroom
5396.000000002099,atrium
5397.000000002103,kitchen
5672.000000003103,atrium
6089.00000000462,toilet
6090.000000004624,atrium
6162.000000004886,bedroom
6288.000000005344,atrium
6452.000000005941,toilet
6453.0000000059445,atrium
6665.000000006716,toilet
7124.0000000083855,atrium
7125.000000008389,bedroom
7126.000000008393,atrium
7127.0000000083965,toilet
7128.0000000084,atrium
7129.000000008404,kitchen
7552.000000009943,atrium
7553.000000009946,bedroom
7554.00000000995,atrium
7569.000000010004,toilet
8099.000000011933,atrium
8100.000000011936,toilet
8101.00000001194,atrium
8102.0000000119435,bedroom
8518.000000013457,atrium
8873.000000014748,kitchen
9126.000000015669,atrium
9127.000000015672,kitchen
9325.000000016393,atrium
9858.000000018332,bedroom
