Time,Room,State
0.0,livingroom,1
150.9999999999957,atrium,1
151.99999999999565,kitchen,1
180.999999999994,livingroom,0
302.00000000000017,bedroom,1
321.0000000000045,toilet,1
331.00000000000676,atrium,0
332.000000000007,kitchen,0
386.00000000001927,atrium,1
501.0000000000454,toilet,0
566.0000000000601,atrium,0
630.0000000000747,atrium,1
662.000000000082,bedroom,0
937.0000000001445,kitchen,1
990.0000000001565,atrium,0
1084.0000000001096,atrium,1
1118.0000000000787,kitchen,0
1247.9999999999604,toilet,1
1428.9999999997958,toilet,0
1767.9999999994875,kitchen,1
1804.9999999994538,atrium,0
2366.9999999989427,atrium,1
2547.999999998778,atrium,0
2656.999999998679,atrium,1
2668.999999998668,kitchen,0
2726.9999999986153,toilet,1
2830.9999999985207,kitchen,1
2837.9999999985143,atrium,0
2907.9999999984507,toilet,0
3349.9999999980487,atrium,1
3371.9999999980287,kitchen,0
3635.9999999977886,bedroom,1
3710.9999999977204,atrium,0
3955.9999999974975,atrium,1
4135.999999997515,atrium,0
4422.999999998559,atrium,1
4535.99999999897,bedroom,0
4903.000000000306,bedroom,1
4963.000000000524,atrium,0
5072.00000000092,atrium,1
5083.00000000096,bedroom,0
5204.000000001401,toilet,1
5268.000000001633,bedroom,1
5384.0000000020555,toilet,0
5432.00000000223,atrium,0
5791.000000003536,atrium,1
5808.000000003598,bedroom,0
6060.000000004515,bedroom,1
6151.000000004846,atrium,0
6320.000000005461,atrium,1
6500.000000006115,atrium,0
6631.000000006592,atrium,1
6811.000000007247,atrium,0
6829.000000007312,atrium,1
6960.000000007789,bedroom,0
7329.000000009131,toilet,1
7447.000000009561,bedroom,1
7509.000000009786,toilet,0
7549.000000009932,atrium,0
7798.0000000108375,atrium,1
7807.00000001087,bedroom,0
8148.000000012111,bedroom,1
8158.000000012147,atrium,0
8191.000000012267,atrium,1
8328.000000012766,bedroom,0
8650.000000013937,toilet,1
8830.000000014592,toilet,0
9280.000000016229,bedroom,1
9438.000000016804,kitchen,1
9451.000000016851,atrium,0
9460.000000016884,bedroom,0
9503.00000001704,atrium,1
9618.000000017459,kitchen,0
9823.000000018204,kitchen,1
9863.00000001835,atrium,0
